1000	116	1.8
1000	106	4.3
1000	119	3.9
1000	115	3.4
1000	126	2.3
1000	102	1.3
1000	128	2.1
1000	103	3.5
1000	121	1.8
1000	114	1.9
1000	101	3.9
1000	111	3.9
1000	125	4.6
1000	127	1.8
1000	109	2.6
1000	118	1.8
1000	105	4.6
1000	108	4.3
1000	104	3.1
1000	110	4.9
1010	125	3.7
1010	130	4.1
1010	105	3.0
1010	108	2.6
1010	110	2.9
1010	113	2.3
1010	103	3.8
1010	122	4.3
1010	107	2.4
1010	115	1.3
1010	118	4.3
1010	123	4.2
1010	114	4.5
1010	129	4.7
1010	124	4.7
1010	128	2.6
1010	106	2.7
1010	109	3.8
1010	119	1.3
1010	102	4.5
1020	115	4.0
1020	104	2.8
1020	112	2.4
1020	111	2.7
1020	106	2.3
1020	124	3.7
1020	129	2.8
1020	113	2.4
1020	130	3.9
1020	117	1.7
1020	101	2.9
1020	105	2.7
1020	108	3.8
1020	120	4.0
1020	110	4.7
1020	100	4.8
1020	122	4.9
1020	107	1.8
1020	121	1.3
1020	116	1.7
1030	122	3.4
1030	112	2.5
1030	117	4.6
1030	125	3.4
1030	103	1.1
1030	121	3.7
1030	113	4.9
1030	127	2.8
1030	118	3.7
1030	108	3.0
1030	102	1.4
1030	115	2.7
1030	109	4.5
1030	106	4.5
1030	105	2.1
1030	100	4.1
1030	110	2.7
1030	104	1.5
1030	116	4.2
1030	120	2.1
1040	130	4.9
1040	111	1.7
1040	117	1.4
1040	119	1.4
1040	112	4.9
1040	118	4.7
1040	113	3.4
1040	106	3.3
1040	107	1.3
1040	109	2.2
1040	110	4.1
1040	127	4.1
1040	103	2.3
1040	100	1.2
1040	124	3.5
1040	120	3.5
1040	115	4.2
1040	126	1.5
1040	105	3.4
1040	104	1.4
1050	128	4.9
1050	106	2.5
1050	127	3.0
1050	102	3.6
1050	111	3.7
1050	110	3.7
1050	100	1.3
1050	118	1.9
1050	105	4.1
1050	107	2.9
1050	117	2.5
1050	114	4.6
1050	121	4.9
1050	116	2.5
1050	103	2.9
1050	109	1.1
1050	123	1.1
1050	129	3.1
1050	101	1.2
1050	119	1.3
1060	107	1.8
1060	108	4.3
1060	117	2.7
1060	102	2.0
1060	122	3.6
1060	106	1.3
1060	115	2.0
1060	123	4.4
1060	113	3.8
1060	118	2.8
1060	126	2.7
1060	124	4.6
1060	127	2.0
1060	111	1.4
1060	109	3.8
1060	128	4.1
1060	120	3.9
1060	116	1.4
1060	110	1.7
1060	104	4.8
1070	102	2.8
1070	111	1.5
1070	110	2.9
1070	118	3.2
1070	116	3.2
1070	114	2.1
1070	112	4.5
1070	120	2.3
1070	122	3.3
1070	100	3.1
1070	108	1.7
1070	126	2.6
1070	107	4.2
1070	119	4.7
1070	104	4.1
1070	115	1.5
1070	124	2.9
1070	101	1.9
1070	125	4.5
1070	127	3.7
1080	104	4.8
1080	130	1.0
1080	109	2.7
1080	114	2.2
1080	100	1.5
1080	126	4.3
1080	127	5.0
1080	121	1.2
1080	125	3.4
1080	128	2.3
1080	120	3.9
1080	107	1.8
1080	117	1.4
1080	103	3.8
1080	118	3.5
1080	124	1.4
1080	106	2.3
1080	123	1.1
1080	116	2.5
1080	113	3.3
1090	115	4.9
1090	100	1.8
1090	107	4.8
1090	122	2.5
1090	121	4.8
1090	125	4.7
1090	124	1.7
1090	119	3.3
1090	130	1.1
1090	111	1.6
1090	113	2.5
1090	118	4.1
1090	128	3.5
1090	102	1.2
1090	101	3.6
1090	126	2.3
1090	109	3.8
1090	103	1.7
1090	110	1.1
1090	114	3.2
1100	125	2.9
1100	130	1.0
1100	114	1.2
1100	122	1.8
1100	112	2.2
1100	101	1.7
1100	128	3.4
1100	124	2.3
1100	120	1.3
1100	129	4.0
1100	118	2.3
1100	106	1.4
1100	121	3.6
1100	100	3.6
1100	123	3.9
1100	113	2.3
1100	110	3.7
1100	126	3.0
1100	115	3.9
1100	102	1.4
1110	120	1.4
1110	107	4.2
1110	112	2.5
1110	118	3.5
1110	116	4.5
1110	121	2.7
1110	101	3.0
1110	126	1.2
1110	129	4.6
1110	105	2.4
1110	104	3.1
1110	124	4.3
1110	102	3.1
1110	130	1.9
1110	109	4.6
1110	113	1.6
1110	110	3.5
1110	117	2.9
1110	127	3.0
1110	125	3.1
1120	117	2.4
1120	107	3.8
1120	129	2.1
1120	113	2.8
1120	114	1.4
1120	125	1.2
1120	110	3.0
1120	127	1.2
1120	112	2.1
1120	118	1.9
1120	111	4.4
1120	115	4.6
1120	100	4.0
1120	123	2.6
1120	121	4.3
1120	108	2.5
1120	101	2.4
1120	126	1.8
1120	128	4.3
1120	116	3.9
1130	129	3.1
